ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
203920961,Audio,African Emerald Cuckoo,Chrysococcyx cupreus,,Josep del Hoyo,1/2/2018,2018,1,2,0,Ghana,GH-WP,Western,,Ankasa NP,5.2947246,-2.5941467,,Song,Unspecified,,,,IBC1539459,,,,,S64823289,,,,"A bird singing in the forest. Elevation: 95 m. Date added to IBC: December 7, 2018.",,Chrysococcyx cupreus,afecuc1,Species,3271,,3,4,,,
203917681,Audio,African Emerald Cuckoo,Chrysococcyx cupreus,,Josep del Hoyo,9/2/2006,2006,9,2,0,Uganda,UG-W,Western,,Kanyanchu,0.4654,30.3732,Unknown – 1,Song,Unspecified,,,,IBC1130657,,,,,S64821054,,,,"A bird singing. Elevation: 1293 m. Date added to IBC: June 22, 2016.",,Chrysococcyx cupreus,afecuc1,Species,3271,,4,4,,,
184285571,Audio,African Emerald Cuckoo,Chrysococcyx cupreus,,Gabriel Jamie,10/10/2019,2019,10,10,610,Zambia,ZM-06,North-Western,,"(-10.9239,23.9988)",-10.923895,23.998786,,,Unspecified,,,,,,,,,S60525123,,,,,,Chrysococcyx cupreus,afecuc1,Species,3271,,4.5,2,,,
181392571,Audio,African Emerald Cuckoo (African),Chrysococcyx cupreus cupreus,,Jan Hansen,10/10/2019,2019,10,10,1055,South Africa,ZA-NL,Kwazulu-Natal,,Eshowe--Dlinza Forest,-28.8947327,31.4483643,,,Unspecified,,,,,,,,,S60496006,,,,,,Chrysococcyx cupreus,afecuc2,Group,3272,,0,0,,,
172074821,Audio,African Emerald Cuckoo,Chrysococcyx cupreus,,Barbara Carlson,7/9/2019,2019,7,9,722,Uganda,UG-W,Western,,Bigodi Swamp,0.4047742,30.4055214,,,Not Used,,,,,,,,,S58066217,,,,,,Chrysococcyx cupreus,afecuc1,Species,3271,,3,1,,,
144126771,Audio,African Emerald Cuckoo,Chrysococcyx cupreus,,Raphaël Nussbaumer,12/31/2018,2018,12,31,515,South Africa,ZA-NL,Kwazulu-Natal,,St Lucia--Sugarloaf Campground,-28.3826395,32.4189752,,,Unspecified,,,,,,,,,S51107931,,,,,,Chrysococcyx cupreus,afecuc1,Species,3271,,0,0,,,
144126231,Audio,African Emerald Cuckoo,Chrysococcyx cupreus,,Raphaël Nussbaumer,12/29/2018,2018,12,29,557,South Africa,ZA-NL,Kwazulu-Natal,,Eshowe--Dlinza Forest,-28.8947327,31.4483643,,,Unspecified,,,,,,,,,S51040312,,,,,,Chrysococcyx cupreus,afecuc1,Species,3271,,0,0,,,
144126211,Audio,African Emerald Cuckoo,Chrysococcyx cupreus,,Raphaël Nussbaumer,12/29/2018,2018,12,29,557,South Africa,ZA-NL,Kwazulu-Natal,,Eshowe--Dlinza Forest,-28.8947327,31.4483643,,,Unspecified,,,,,,,,,S51040312,,,,,,Chrysococcyx cupreus,afecuc1,Species,3271,,0,0,,,
141218081,Audio,African Emerald Cuckoo,Chrysococcyx cupreus,,Todd A. Watkins,1/13/2019,2019,1,13,630,Kenya,KE-200,Central,,Mt. Kenya NP--Castle Forest and Lodge,-0.3793113,37.3103573,Adult Male,Song,Not Used,,,,,,,,,S52157049,,,,,,Chrysococcyx cupreus,afecuc1,Species,3271,,3,1,,,
137709711,Audio,African Emerald Cuckoo,Chrysococcyx cupreus,,Brian Henderson,12/2/2018,2018,12,2,1151,Ethiopia,ET-OR,Oromia,,"Bale Mts.--Harenna Forest (6.686, 39.728)",6.6859413,39.7277121,,Song,Not Used,,,,,Nikon D5600,,,,S50605332,,,,,heard,Chrysococcyx cupreus,afecuc1,Species,3271,,3,1,,,
133737341,Audio,African Emerald Cuckoo,Chrysococcyx cupreus,,Zak Pohlen,12/22/2018,2018,12,22,710,Uganda,UG-W,Western,,Bwindi-Impenetrable Forest NP--Buhoma,-1.0082869,29.6328735,,Song,Not Used,,,,,,,,,S50986050,,,,,,Chrysococcyx cupreus,afecuc1,Species,3271,,2,2,,,
236965,Audio,African Emerald Cuckoo,Chrysococcyx cupreus,,Tom Schulenberg,6/27/1998,1998,6,27,905,Uganda,UG-W,Western,,Masindi District; Budongo Forest Preserve,1.7108,31.5421,Adult – 1,Song,Not Used,,,,,SONY TC-D5 PRO II,Sennheiser ME 66,,,,,,,,,Chrysococcyx cupreus,afecuc1,Species,3271,,2,4,,,
236956,Audio,African Emerald Cuckoo,Chrysococcyx cupreus,,Tom Schulenberg,6/26/1998,1998,6,26,1330,Uganda,UG-W,Western,,Budongo Forest Reserve--Royal Mile,1.7108449,31.5421343,Adult – 1,Song,Not Used,,,,,SONY TC-D5 PRO II,Sennheiser ME 66,,,,,,,,,Chrysococcyx cupreus,afecuc1,Species,3271,,2,4,,,
122295451,Audio,African Emerald Cuckoo,Chrysococcyx cupreus,,Scott  Connop,11/22/1998,1998,11,22,0,South Africa,ZA-NL,Kwazulu-Natal,,iSimangaliso WP--False Bay NR,-27.9754079,32.36009,Adult Male,Song,Used,,,,,Sony TCM-5000,Sennheiser ME-66,,,S42400990,,,,"From Birdsongs of South Africa. Bgd. Yellow-bellied Greenbul, Emerald-spotted Wood-Dove, Green-backed Camaroptera",,Chrysococcyx cupreus,afecuc1,Species,3271,,0,0,,,
83863761,Audio,African Emerald Cuckoo (African),Chrysococcyx cupreus cupreus,,Jacob C. Cooper,12/4/2017,2017,12,4,1330,Cameroon,CM-SW,South-West,,Bakossi Mountains--Kodmin Forest,4.995486,9.687806,Adult Male,Song,Not Used,,,,,,,,,S41063315,,,,,Recorded and seen.,Chrysococcyx cupreus,afecuc2,Group,3272,,4.5,2,,,
72049021,Audio,African Emerald Cuckoo,Chrysococcyx cupreus,,David Guarnieri,10/15/2017,2017,10,15,1154,Kenya,KE-800,Western,,Kakamega Forest NR--Rondo Retreat Centre,0.2269197,34.8846549,,,Unspecified,,,,,,,,,S39934853,,,,,Tape,Chrysococcyx cupreus,afecuc1,Species,3271,,3.5,2,,,
524089,Audio,African Emerald Cuckoo,Chrysococcyx cupreus,,Mark Robbins,11/22/2016,2016,11,22,546,South Africa,ZA-LP,Limpopo,,Kurisa Moya Lodge,-23.802,29.94,Adult Male – 1,Song,Not Used,,,,,NAGRA ARES-BB+,Sennheiser ME 67,,,S32902937,,,,"Montane forest.   ML: 150 Hz high-pass scientific filter applied in Adobe Audition CC 2017. Other Behaviors: Perch.",,Chrysococcyx cupreus,afecuc1,Species,3271,,3,4,,,
524069,Audio,African Emerald Cuckoo,Chrysococcyx cupreus,,Mark Robbins,11/21/2016,2016,11,21,900,South Africa,ZA-LP,Limpopo,,Kurisa Moya Lodge,-23.802,29.94,Adult Male – 1,Song,Not Used,,,,,NAGRA ARES-BB+,Sennheiser ME 67,,,S32902941,,,,"Montane forest.   ML: 150 Hz high-pass scientific filter applied in Adobe Audition CC 2017. Other Behaviors: Perch.",,Chrysococcyx cupreus,afecuc1,Species,3271,,3,4,,,
212429,Audio,African Emerald Cuckoo,Chrysococcyx cupreus,Pogoniulus subsulphureus -- Yellow-throated Tinkerbird,Mark Robbins,3/6/2015,2015,3,6,1125,Cameroon,CM-SW,South-West,,Korup National Park; Chimpanzee Camp,5.0708,8.8598,Adult Male – 1,Song,Not Used,,,,,NAGRA ARES-BB+,Sennheiser ME 67,,,,,,,"Weather: partly cloudy. Habitat: primary rain forest.  ML: 75 Hz Hi-Pass filter using Adobe Audition CC 2014. Other Behaviors: Advertise.",,Chrysococcyx cupreus,afecuc1,Species,3271,,2,4,,,
212424,Audio,African Emerald Cuckoo,Chrysococcyx cupreus,Cuculus solitarius -- Red-chested Cuckoo; Turtur brehmeri -- Blue-headed Wood-Dove,Mark Robbins,3/6/2015,2015,3,6,,Cameroon,CM-SW,South-West,,Korup National Park; Chimpanzee Camp,5.0708,8.8598,Adult Male – 1,Song,Not Used,,,,,NAGRA ARES-BB+,Sennheiser ME 67,,,,,,,"Weather: partly cloudy. Habitat: primary rain forest.  ML: 75 Hz Hi-Pass filter using Adobe Audition CC 2014. Other Behaviors: Advertise.",,Chrysococcyx cupreus,afecuc1,Species,3271,,2,4,,,
212423,Audio,African Emerald Cuckoo,Chrysococcyx cupreus,Chrysococcyx cupreus -- African Emerald Cuckoo,Mark Robbins,3/6/2015,2015,3,6,835,Cameroon,CM-SW,South-West,,Korup National Park; Chimpanzee Camp,5.0708,8.8598,Unknown – 2,Song,Not Used,,,,,NAGRA ARES-BB+,Sennheiser ME 67,,,,,,,"Weather: partly cloudy. Habitat: primary rain forest.  ML: 75 Hz Hi-Pass filter using Adobe Audition CC 2014. Other Behaviors: Advertise.",,Chrysococcyx cupreus,afecuc1,Species,3271,,2,4,,,
176521,Audio,African Emerald Cuckoo,Chrysococcyx cupreus,Platysteira cyanea -- Brown-throated Wattle-eye,Paul Rodewald,11/12/1991,1991,11,12,,Cameroon,CM,,,Southwest Province; Dikome Balue,4.8833333,9.25,Adult Male – 1,,Not Used,,,,,SONY TCM-5000,,,,,,,,Equipment Notes: Mineroff SME V-6502 Short shotgun microphone.,,Chrysococcyx cupreus,afecuc1,Species,3271,,2,4,,,
147035,Audio,African Emerald Cuckoo,Chrysococcyx cupreus,,Mark Robbins,11/6/2007,2007,11,6,830,Ghana,GH-WP,Western,,Ankasa Conservation Area,5.2816667,-2.64,Adult Male – 1,Song,Not Used,,,,,NAGRA ARES-BB+,Sennheiser ME 67,,,,,,,"forest has been heavily, selectively logged; people moved out of area in ca. 1975 to create reserve. Other Behaviors: Advertise.",,Chrysococcyx cupreus,afecuc1,Species,3271,,2,4,,,
147008,Audio,African Emerald Cuckoo,Chrysococcyx cupreus,,Mark Robbins,11/3/2007,2007,11,3,900,Ghana,GH-WP,Western,,Ankasa Conservation Area,5.2816667,-2.64,Adult Male – 1,Song,Not Used,,,,,NAGRA ARES-BB+,Sennheiser ME 67,,,,,,,"forest has been heavily, selectively logged; people moved out of area in ca. 1975 to create reserve. Other Behaviors: Advertise.",,Chrysococcyx cupreus,afecuc1,Species,3271,,1,4,,,
146973,Audio,African Emerald Cuckoo,Chrysococcyx cupreus,,Mark Robbins,10/31/2007,2007,10,31,730,Ghana,GH-WP,Western,,Ankasa Conservation Area,5.2816667,-2.64,Adult Male – 1; Unknown – 1,Song,Not Used,,,,,NAGRA ARES-BB+,Sennheiser ME 67,,,,,,,"forest has been heavily, selectively logged; people moved out of area in ca. 1975 to create reserve. Other Behaviors: Advertise. Habitat: Rainforest.",,Chrysococcyx cupreus,afecuc1,Species,3271,,1,4,,,
146943,Audio,African Emerald Cuckoo,Chrysococcyx cupreus,,Mark Robbins,10/29/2007,2007,10,29,845,Ghana,GH-WP,Western,,Ankasa Conservation Area,5.2816667,-2.64,Adult Male – 1,Song,Not Used,,,,,NAGRA ARES-BB+,Sennheiser ME 67,,,,,,,"forest has been heavily, selectively logged; people moved out of area in ca. 1975 to create reserve. Other Behaviors: Advertise.",,Chrysococcyx cupreus,afecuc1,Species,3271,,1,4,,,
146910,Audio,African Emerald Cuckoo,Chrysococcyx cupreus,,Mark Robbins,10/27/2007,2007,10,27,700,Ghana,GH-WP,Western,,Ankasa Conservation Area,5.2816667,-2.64,Adult Male – 1,Song,Not Used,,,,,NAGRA ARES-BB+,Sennheiser ME 67,,,,,,,"forest has been heavily, selectively logged; people moved out of area in ca. 1975 to create reserve. Other Behaviors: Advertise.",,Chrysococcyx cupreus,afecuc1,Species,3271,,1,4,,,
94656,Audio,African Emerald Cuckoo,Chrysococcyx cupreus,Colius striatus -- Speckled Mousebird; Dicrurus adsimilis -- Fork-tailed Drongo; Dryoscopus cubla -- Black-backed Puffback; Gallus gallus -- Red Junglefowl; Laniarius ferrugineus -- Southern Boubou; Prinia subflava -- Tawny-flanked Prinia; Pycnonotus barbatus -- Common Bulbul; Streptopelia capicola -- Ring-necked Dove; Telophorus sulfureopectus -- Sulphur-breasted Bushshrike,David Moyer,12/21/1990,1990,12,21,700,Tanzania,TZ-14,Mbeya,,13.0 km W of Mbalizi; Mshewe,-8.8166667,33.2666667,,,Not Used,,,,,NAGRA III,Sennheiser ME 20,Roche Parabola 60cm/14.5cm (23.6in/5.7in),,,,,,"Other Behaviors: Advertise. Habitat: Forest, Deciduous Forest.",,Chrysococcyx cupreus,afecuc1,Species,3271,,3,4,,,
87341,Audio,African Emerald Cuckoo,Chrysococcyx cupreus,Lybiidae sp. -- african barbet sp.; Notopholia corusca -- Black-bellied Starling; Pogoniulus sp. -- tinkerbird sp.; Prinia subflava -- Tawny-flanked Prinia,David Moyer,5/24/1994,1994,5,24,1647,Ghana,GH-CP,Central,,Assin Attandanso Resource Reserve; Abuabu,,,Adult – 1,Song,Not Used,,,,,NAGRA E,Sennheiser MKH 815,,,,,,,"NOTES:  (Humid climate)  (Wet season)  (Medium dense cover). Habitat: Rainforest, Evergreen Forest, Deciduous Forest.",,Chrysococcyx cupreus,afecuc1,Species,3271,,3,1,,,
83213,Audio,African Emerald Cuckoo,Chrysococcyx cupreus,,Linda Macaulay,2/7/1994,1994,2,7,630,Malawi,MW,,,Liwonde - Liwonde National Park,-14,34,Adult Male – 1,Song,Not Used,,,,,SONY TC-D5 PRO II,Sennheiser MKH 60,,,S38793504,,,,"NOTES:  (Frequent)  (Cyclic wet-dry climate)   (Infrequent)  (Medium dense cover). Other Behaviors: Advertise. Habitat: Forest, River, Riparian, Thicket/Brush.",,Chrysococcyx cupreus,afecuc1,Species,3271,,3,4,,,
72084,Audio,African Emerald Cuckoo,Chrysococcyx cupreus,Pogoniulus bilineatus -- Yellow-rumped Tinkerbird; Tauraco porphyreolophus -- Purple-crested Turaco,Paul Coopmans,11/20/1994,1994,11,20,1130,South Africa,ZA-NL,Kwazulu-Natal,,Mkuze Reserve,,,Unknown – 1,Song,Used,,,,,,,,,,,,,"Response to playback: Normal song. Habitat: Forest, Evergreen Forest.",,Chrysococcyx cupreus,afecuc1,Species,3271,,3,4,,,
58625,Audio,African Emerald Cuckoo,Chrysococcyx cupreus,,Jennifer F. M. Horne,6/25/1991,1991,6,25,0,Kenya,KE-700,Rift Valley,,ESE Baringo; Laikipia; Ngeleska,0.4666667,36.3666667,Adult Male – 1,Song,Not Used,,,,,STELLAVOX SP7,,,,,,,,"NOTES: (Breeding Status: Breeding. Gen. Climate: Cyclic wet-dry. Gen. Habitat: pastured forest.). Habitat: Forest, Grassland, Evergreen Forest, Deciduous Forest, Montane Grassland, Pasture, Thicket/Brush.",,Chrysococcyx cupreus,afecuc1,Species,3271,,3,4,,,
53048,Audio,African Emerald Cuckoo,Chrysococcyx cupreus,,Linda Macaulay,5/8/1991,1991,5,8,1100,Côte d'Ivoire,CI-01,Lagunes (Région des),,48.0 km N of Abidjan; Abe Yapo Forest Plantation Road,6,-4,Adult Male – 1,Foraging or Eating; Song,Not Used,,,,,SONY TC-D5 PRO II,Sennheiser MKH 60,,,S23688395,,,,"Habitat: Forest, Deciduous Forest.",,Chrysococcyx cupreus,afecuc1,Species,3271,,1,4,,,
53029,Audio,African Emerald Cuckoo,Chrysococcyx cupreus,,Linda Macaulay,5/7/1991,1991,5,7,1145,Côte d'Ivoire,CI-01,Lagunes (Région des),,48.0 km N of Abidjan; Abe Yapo Forest Plantation Road,6,-4,Adult Male – 1,Song,Not Used,,,,,SONY TC-D5 PRO II,Sennheiser MKH 60,,,S23688394,,,,"NOTES: Not a very good cut. Response to playback: Approach. Habitat: Forest, Deciduous Forest.",,Chrysococcyx cupreus,afecuc1,Species,3271,,1,4,,,
51431,Audio,African Emerald Cuckoo,Chrysococcyx cupreus,,Jennifer F. M. Horne,10/24/1983,1983,10,24,0,Zambia,ZM-08,Copperbelt,,14.0 km NW of Ndola Beluba area,-12.8,28.4833333,,Song,Unspecified,,,,,NAGRA IS,,,,,,,,NOTES: (Gen. Habitat: Brachystegia/miombo woodlands.). Habitat: Forest.,,Chrysococcyx cupreus,afecuc1,Species,3271,,4.17,6,,,
26082,Audio,African Emerald Cuckoo,Chrysococcyx cupreus,,G. Stuart Keith,,,4,7,,Kenya,KE,,,"Swan River, Mount Elgon",,,,,Unspecified,,,,,,,,,,,,,,,Chrysococcyx cupreus,afecuc1,Species,3271,,2,4,,,
23309,Audio,African Emerald Cuckoo,Chrysococcyx cupreus,Columba malherbii -- Sao Tome Pigeon,G. Stuart Keith,2/22/1971,1971,2,22,,Liberia,LR,,,Nimba,,,,,Unspecified,,,,,,,,,,,,,"Background: Columba malherbii, Pogoniulus sp. (?) (snoring). LNS: Location and date presumed from surrounding records.",,Chrysococcyx cupreus,afecuc1,Species,3271,,2,4,,,
23179,Audio,African Emerald Cuckoo,Chrysococcyx cupreus,,G. Stuart Keith,2/16/1971,1971,2,16,,Liberia,LR-NI,Nimba,,Nimba,6.8027345,-8.7727492,,,Unspecified,,,,,,,,,,,,,,,Chrysococcyx cupreus,afecuc1,Species,3271,,3,4,,,
23167,Audio,African Emerald Cuckoo,Chrysococcyx cupreus,Columba malherbii -- Sao Tome Pigeon,G. Stuart Keith,,1971,2,,,Liberia,LR,,,Nimba,,,,,Unspecified,,,,,,,,,,,,,LNS: Date range 13-14 Feb 1971 and location presumed from surrounding records.,,Chrysococcyx cupreus,afecuc1,Species,3271,,3,4,,,
17983,Audio,African Emerald Cuckoo,Chrysococcyx cupreus,,Ted Parker,2/29/1980,1980,2,29,,Tanzania,TZ,,,Ngorongoro Crater Rim,,,Adult – 1,Song,Not Used,,,,,UHER CR 240,Sennheiser ME 88,,,,,,,"NOTES:  Breeding status: TERRITORIAL UNKNOWN;  Frequency of sound: NORMAL;  Cover density: MEDIUM; GOOD BIRD SONG BUT MOTOR IN BACKGROUND.  1 ADULT(S); MALE(S)?. Other Behaviors: Advertise. Habitat: Cloudforest, Montane Grassland, Edge.",,Chrysococcyx cupreus,afecuc1,Species,3271,,2,4,,,
8599,Audio,African Emerald Cuckoo,Chrysococcyx cupreus,Ploceus baglafecht -- Baglafecht Weaver; Pogoniulus bilineatus -- Yellow-rumped Tinkerbird; Pycnonotus barbatus -- Common Bulbul,Myles E. W. North,5/29/1964,1964,5,29,0,Kenya,KE,,,MYLES' MUTHAIGA HOUSE; NAIROBI,,,,Call,Unspecified,,,,,EMI RE321,Grampian DP5,Parabola 43.2cm (17in),,,,,,NOTES: THIS RECORDING FEATURES THE BEGGING CALL OF A JUVENILE C.CUPREUS AND THE PARENT HOST BIRD WHICH IS A PYCNONOTUS BARBATUS.  ANNOTATIONS COME IN THE MIDDLE AND AT THE END OF THE CUT.  THE PARENT HOST BIRD CALLS ONCE AT THE END OF THE CUT.  GOOD   1 JUVENILE(S)DESCRIPTION OF YOUNG BIRD IN MYLES' NOTEBOOK AND ALSO ON THE CUT: '..THE COLOR WAS IRRIDESCENT GREEN ABOVE - GREEN THROAT AND BROAD GREEN STRIPES BELOW'. (MYLES MUST MEAN BARRING WHEN HE SAYS STRIPES - JFM HORNE). Other Behaviors: Beg.,,Chrysococcyx cupreus,afecuc1,Species,3271,,4,4,,,
8598,Audio,African Emerald Cuckoo,Chrysococcyx cupreus,,Marian P. McChesney,10/21/1967,1967,10,21,0,Uganda,UG,,,Kibali Forest; Western Uganda,,,,,Unspecified,,Collected,CUMV Bird 33605,,UHER UNSPECIFIED MODEL,,Parabola 66cm (26in),,,,,,NOTES: LATER COLLECTED AND WILL BE KNOWN AS UI.  1 MALE(S); 1 FEMALE(S). Habitat: Forest.,,Chrysococcyx cupreus,afecuc1,Species,3271,,4,4,,,
8597,Audio,African Emerald Cuckoo,Chrysococcyx cupreus,,Myles E. W. North,12/20/1959,1959,12,20,0,Kenya,KE,,,KARURA FOREST; NEAR NAIROBI,-1.25,36.8333333,,Song,Unspecified,,,,,AMPEX 401,,Parabola 76.2cm (30in),,,,,,NOTES: MORE TYPICAL SONGS; AS CUT 2 (LNS  8596). Habitat: Forest.,,Chrysococcyx cupreus,afecuc1,Species,3271,,3,4,,,
8596,Audio,African Emerald Cuckoo,Chrysococcyx cupreus,,Myles E. W. North,2/1/1959,1959,2,1,0,Kenya,KE,,,KARURA FOREST; NAIROBI,-1.25,36.8333333,,Song,Unspecified,,,,,AMPEX 401,,Parabola 76.2cm (30in),,,,,,NOTES: SERIES OF TYPICAL SONGS; COPIED FOR RECORD: 'MORE VOICES OF AFRICAN BIRDS'. Habitat: Forest.,,Chrysococcyx cupreus,afecuc1,Species,3271,,3,4,,,
8595,Audio,African Emerald Cuckoo,Chrysococcyx cupreus,,Marian P. McChesney,6/27/1957,1957,6,27,900,Kenya,KE,,,MANYUKI; KENYA COLONY,0.0333333,37.1666667,,,Unspecified,,,,,MAGNEMITE UNSPECIFIED MODEL,,Parabola 101.6cm (40in),,,,,,NOTES:  General climate: DRY;.,,Chrysococcyx cupreus,afecuc1,Species,3271,,1,4,,,
1065,Audio,African Emerald Cuckoo,Chrysococcyx cupreus,,Peter Kaestner,1/29/1977,1977,1,29,1200,DR Congo,CD-OR,Orientale,,1.0 km E of Tschabi,0.9333333,29.85,Unknown – 1,Song,Used,,,,,NAGRA III-B,Dan Gibson P500,Parabola 45.7cm (18in),,,,,,"NOTES:  Range status: NORMAL;  Breeding status: TERRITORIAL SOLITARY;  Frequency of sound: NORMAL;  General climate: WET;  Cover density: MEDIUM; Response to playback: No response. Habitat: Rainforest, Deciduous Forest, Stream.",,Chrysococcyx cupreus,afecuc1,Species,3271,,4,4,,,
24226951,Audio,African Emerald Cuckoo (Bioko),Chrysococcyx cupreus intermedius,,Jacob C. Cooper,1/26/2016,2016,1,26,600,Equatorial Guinea,GQ-I-BS,Región Insular,Bioko Sur,RC de la Caldera de Luba--North (American) Camp,3.36522,8.50039,Adult Male,Song,Not Used,,,,,Zoom H4n 4-Channel Handy Recorder,,,,S27279787,,,,,,Chrysococcyx cupreus,afecuc3,Group,3273,,4,2,,,
24216701,Audio,African Emerald Cuckoo (Bioko),Chrysococcyx cupreus intermedius,,Jacob C. Cooper,1/24/2016,2016,1,24,620,Equatorial Guinea,GQ-I-BS,Región Insular,Bioko Sur,RC de la Caldera de Luba--Hormigas,3.3357261,8.4829473,Unknown,Song,Not Used,,,,,Zoom H4n 4-Channel Handy Recorder,,,,S27279112,,,,,,Chrysococcyx cupreus,afecuc3,Group,3273,,3,1,,,
24116811,Audio,African Emerald Cuckoo (African),Chrysococcyx cupreus cupreus,,Oscar Johnson,1/12/2016,2016,1,12,613,Equatorial Guinea,GQ-C-CS,Región Continental,Centro Sur,American University of Central Africa (AUCA),1.6089422,10.8629894,Adult Male,Song,Not Used,,,,,Roland R-26,Sennheiser MKH 70,,,S26857813,,,,,,Chrysococcyx cupreus,afecuc2,Group,3272,,5,1,,,
