"ID","n1_s1_pk","n1_s2_pk","n1_s3_pk","n1_s4_pk","n1_s1_max","n1_s2_max","n1_s3_max","n1_s4_max","n1_s1_min","n1_s2_min","n1_s3_min","n1_s4_min","n1_s1_maxsl","n1_s2_maxsl","n1_s3_maxsl","n1_s4_maxsl","n1_s1_minsl","n1_s2_minsl","n1_s3_minsl","n1_s4_minsl","n1_entr","n1_dur","n2_s1_pk","n2_s2_pk","n2_s3_pk","n2_s4_pk","n2_s1_max","n2_s2_max","n2_s3_max","n2_s4_max","n2_s1_min","n2_s2_min","n2_s3_min","n2_s4_min","n2_s1_maxsl","n2_s2_maxsl","n2_s3_maxsl","n2_s4_maxsl","n2_s1_minsl","n2_s2_minsl","n2_s3_minsl","n2_s4_minsl","n2_entr","n2_dur","n3_s1_pk","n3_s2_pk","n3_s3_pk","n3_s4_pk","n3_s1_max","n3_s2_max","n3_s3_max","n3_s4_max","n3_s1_min","n3_s2_min","n3_s3_min","n3_s4_min","n3_s1_maxsl","n3_s2_maxsl","n3_s3_maxsl","n3_s4_maxsl","n3_s1_minsl","n3_s2_minsl","n3_s3_minsl","n3_s4_minsl","n3_entr","n3_dur","n4_s1_pk","n4_s2_pk","n4_s3_pk","n4_s4_pk","n4_s1_max","n4_s2_max","n4_s3_max","n4_s4_max","n4_s1_min","n4_s2_min","n4_s3_min","n4_s4_min","n4_s1_maxsl","n4_s2_maxsl","n4_s3_maxsl","n4_s4_maxsl","n4_s1_minsl","n4_s2_minsl","n4_s3_minsl","n4_s4_minsl","n4_entr","n4_dur"
"Chrysococcyx-cupreus-615909_0.04.wav",3.4453125,2.75625,2.4978515625,2.75625,4.0482421875,2.928515625,2.583984375,3.10078125,3.1869140625,2.4978515625,2.3255859375,2.3255859375,0,0,0,0.0861328125000003,-0.0861328125000003,-0.0861328125000003,-0.0861328124999998,0,0.515884034372473,0.105974809424558,2.583984375,2.41171875,2.239453125,1.9810546875,2.8423828125,2.583984375,2.41171875,2.1533203125,2.41171875,2.3255859375,2.0671875,1.894921875,0,0,0,0,-0.0861328125000003,-0.0861328124999998,-0.0861328125000003,-0.0861328125000003,0.438771398034884,0.231747110719637,2.41171875,2.3255859375,2.239453125,2.239453125,3.10078125,2.41171875,2.41171875,2.3255859375,2.3255859375,2.239453125,2.1533203125,2.1533203125,0,0,0,0,-0.0861328125000003,-0.0861328125000003,-0.0861328124999998,-0.0861328125000003,0.354377730319447,0.275418048669318,2.583984375,2.41171875,2.75625,2.75625,3.4453125,2.4978515625,2.8423828125,3.1869140625,2.41171875,2.3255859375,2.41171875,2.583984375,0,0.0861328125000003,0.0861328125000003,0.0861328125000003,-0.0861328125000003,-0.0861328125000003,0,-0.0861328124999998,0.432892758488767,0.180506543525346
"Chrysococcyx-cupreus-615909_0.10.wav",3.4453125,2.75625,2.41171875,2.75625,3.962109375,2.928515625,2.583984375,3.10078125,3.10078125,2.4978515625,2.3255859375,2.3255859375,0,0,0,0.0861328125000003,-0.0861328125000003,-0.0861328125000003,-0.0861328124999998,0,0.515535678046145,0.109164951297456,2.583984375,2.41171875,2.239453125,1.9810546875,2.75625,2.583984375,2.41171875,2.1533203125,2.41171875,2.3255859375,2.0671875,1.894921875,0,0,0,0,-0.0861328125000003,-0.0861328124999998,-0.0861328125000003,-0.0861328125000003,0.430498968498075,0.219203222205293,2.41171875,2.3255859375,2.239453125,2.239453125,3.10078125,2.41171875,2.41171875,2.3255859375,2.3255859375,2.239453125,2.1533203125,2.1533203125,0,0,0,0,-0.0861328125000003,0,-0.0861328124999998,-0.0861328125000003,0.358540575531577,0.272475718438451,2.583984375,2.41171875,2.6701171875,2.75625,3.273046875,2.4978515625,2.8423828125,3.1869140625,2.41171875,2.239453125,2.4978515625,2.583984375,0,0.0861328125000003,0.0861328125000003,0.172265625,-0.0861328125000003,-0.0861328125000003,0,-0.0861328124999998,0.430864377136641,0.180486052811795
"Chrysococcyx-cupreus-615909_0.20.wav",3.1869140625,2.583984375,2.4978515625,2.4978515625,3.962109375,2.928515625,2.583984375,3.1869140625,2.928515625,2.4978515625,2.3255859375,2.3255859375,0,0,0,0.0861328125000003,-0.0861328125000003,-0.0861328125000003,-0.0861328124999998,0,0.492597632244102,0.109470572023434,2.583984375,2.41171875,2.3255859375,2.0671875,2.8423828125,2.583984375,2.41171875,2.239453125,2.4978515625,2.3255859375,2.1533203125,1.894921875,0,0,0,0,-0.0861328125000003,-0.0861328124999998,-0.0861328125000003,-0.0861328125,0.40709653764781,0.203510451713778,2.4978515625,2.3255859375,2.3255859375,2.239453125,3.1869140625,2.4978515625,2.41171875,2.3255859375,2.3255859375,2.239453125,2.1533203125,2.1533203125,0,0,0,0,-0.0861328125000003,-0.0861328125000003,-0.0861328124999998,-0.0861328125000003,0.354165159656321,0.277170171718908,2.583984375,2.41171875,2.6701171875,2.75625,3.273046875,2.4978515625,2.8423828125,3.3591796875,2.41171875,2.3255859375,2.41171875,2.583984375,0,0,0.0861328125000003,0.0861328125000003,-0.0861328125000003,0,0,0,0.426324830103616,0.182839146890204
"Chrysococcyx-cupreus-615909_0.24.wav",3.1869140625,2.583984375,2.41171875,2.583984375,3.8759765625,2.75625,2.583984375,3.3591796875,2.928515625,2.41171875,2.3255859375,2.41171875,0,0,0,0.172265625,-0.0861328125000003,-0.0861328125000003,-0.0861328124999998,0,0.468083638090989,0.117637041638117,2.583984375,2.41171875,2.3255859375,2.0671875,2.75625,2.583984375,2.4978515625,2.239453125,2.41171875,2.3255859375,2.1533203125,1.894921875,0,0,0,0,-0.0861328125000003,-0.0861328124999998,-0.0861328125000003,-0.0861328125,0.37840750196593,0.204408918886036,2.41171875,2.3255859375,2.239453125,2.239453125,3.10078125,2.41171875,2.41171875,2.3255859375,2.3255859375,2.239453125,2.1533203125,2.1533203125,0,0,0,0,-0.0861328125000003,0,-0.0861328124999998,-0.0861328125000003,0.346630704610458,0.278660021900194,2.4978515625,2.3255859375,2.583984375,3.0146484375,3.1869140625,2.4978515625,2.75625,3.273046875,2.3255859375,2.239453125,2.41171875,2.583984375,0,0,0.0861328125000003,0.0861328125000003,-0.0861328125000003,-0.0861328125000003,0,0,0.416311382952995,0.183735082360525
"Chrysococcyx-cupreus-615909_0.38.wav",3.1869140625,2.583984375,2.4978515625,2.583984375,3.78984375,2.75625,2.583984375,3.3591796875,2.928515625,2.4978515625,2.3255859375,2.41171875,0,0,0,0.172265625,-0.0861328125000003,-0.0861328125000003,-0.0861328124999998,0,0.477095258995303,0.109465108517714,2.583984375,2.4978515625,2.3255859375,2.0671875,2.75625,2.583984375,2.4978515625,2.1533203125,2.4978515625,2.3255859375,2.1533203125,1.894921875,0,0,0,0,-0.0861328125000003,-0.0861328124999998,-0.0861328125000003,-0.0861328125,0.396609810231929,0.209322906979352,2.41171875,2.3255859375,2.3255859375,2.239453125,2.75625,2.4978515625,2.41171875,2.3255859375,2.3255859375,2.239453125,2.1533203125,2.1533203125,0,0,0.0861328124999998,0,-0.0861328125000003,-0.0861328125000003,-0.0861328124999998,-0.0861328125000003,0.333816715242405,0.265802244884768,2.583984375,2.41171875,2.6701171875,2.75625,3.1869140625,2.4978515625,2.8423828125,3.3591796875,2.41171875,2.3255859375,2.41171875,2.6701171875,0,0,0.0861328125000003,0.0861328125000003,-0.0861328125000003,-0.0861328124999998,0,0,0.423438991505682,0.177589670733525
"Chrysococcyx-cupreus-615909_0.50.wav",3.1869140625,2.583984375,2.4978515625,2.583984375,3.7037109375,2.75625,2.583984375,3.3591796875,2.8423828125,2.41171875,2.41171875,2.41171875,0,0,0,0.0861328125000003,-0.0861328125000003,-0.0861328125000003,0,0,0.448316673557884,0.113537862112278,2.4978515625,2.4978515625,2.41171875,2.1533203125,3.3591796875,2.583984375,2.4978515625,2.3255859375,2.41171875,2.3255859375,2.239453125,1.9810546875,0,0,0,0,-0.0861328125000003,-0.0861328124999998,-0.0861328125000003,-0.0861328125000003,0.391375308384285,0.228531337841381,2.41171875,2.3255859375,2.239453125,2.239453125,3.10078125,2.41171875,2.41171875,2.3255859375,2.3255859375,2.239453125,2.1533203125,2.0671875,0,0,0,0,-0.0861328125000003,-0.0861328125000003,-0.0861328124999998,-0.0861328125000003,0.351560763460434,0.271908623622739,2.8423828125,2.41171875,2.583984375,2.75625,3.273046875,2.4978515625,2.75625,3.1869140625,2.41171875,2.239453125,2.41171875,2.583984375,0,0.0861328125000003,0.0861328125000003,0.0861328125000003,-0.0861328125000003,-0.0861328125000003,0,0,0.437510302989509,0.172344652231971
"Chrysococcyx-cupreus-615909_0.56.wav",3.3591796875,2.6701171875,2.41171875,2.6701171875,3.8759765625,2.928515625,2.583984375,3.3591796875,3.0146484375,2.4978515625,2.3255859375,2.41171875,0,0,0,0.0861328125000003,-0.0861328125000003,-0.0861328125000003,-0.0861328124999998,0,0.4932487274192,0.112374268302261,2.583984375,2.4978515625,2.239453125,1.9810546875,2.8423828125,2.583984375,2.41171875,2.1533203125,2.41171875,2.3255859375,2.0671875,1.894921875,0,0,0,0,-0.0861328125000003,-0.0861328124999998,-0.0861328125000003,-0.0861328125000003,0.428940786608186,0.227368662031258,2.4978515625,2.3255859375,2.3255859375,2.239453125,3.10078125,2.41171875,2.41171875,2.3255859375,2.3255859375,2.239453125,2.1533203125,2.1533203125,0,0,0.0861328124999998,0,-0.0861328125000003,-0.0861328125000003,-0.0861328124999998,0,0.385273954034577,0.264050418005571,2.583984375,2.41171875,2.6701171875,2.75625,3.273046875,2.4978515625,2.8423828125,3.273046875,2.41171875,2.3255859375,2.41171875,2.6701171875,0,0,0.0861328125000003,0.0861328125000003,-0.0861328125000003,0,0,0,0.416490907484508,0.175548403591355
"Chrysococcyx-cupreus-615909_1.06.wav",3.1869140625,2.6701171875,2.4978515625,2.6701171875,3.617578125,2.8423828125,2.583984375,3.1869140625,2.8423828125,2.4978515625,2.41171875,2.41171875,0,0,0,0.0861328125000003,-0.0861328125000003,-0.0861328125000003,0,0,0.432295720113411,0.101628233026587,2.6701171875,2.4978515625,2.239453125,1.9810546875,2.75625,2.583984375,2.41171875,2.0671875,2.4978515625,2.3255859375,1.9810546875,1.8087890625,0,0,0,0,-0.0861328125000003,-0.0861328124999998,-0.0861328125000003,-0.0861328125000003,0.432072339844556,0.237326675978993,2.41171875,2.3255859375,2.3255859375,2.239453125,2.928515625,2.4978515625,2.41171875,2.3255859375,2.3255859375,2.239453125,2.1533203125,2.1533203125,0,0,0,0,-0.0861328125000003,-0.0861328125000003,-0.0861328124999998,-0.0861328125000003,0.342997500139896,0.268776100525903,2.583984375,2.41171875,2.75625,2.75625,3.1869140625,2.583984375,2.8423828125,3.1869140625,2.41171875,2.3255859375,2.4978515625,2.6701171875,0,0,0.0861328125000003,0.0861328125000003,-0.0861328125000003,-0.0861328124999998,0,0,0.406307315073484,0.173554231758871
"Chrysococcyx-cupreus-615909_1.08.wav",3.0146484375,2.583984375,2.4978515625,2.6701171875,3.617578125,2.75625,2.583984375,3.1869140625,2.8423828125,2.4978515625,2.3255859375,2.41171875,0,0,0,0.0861328125000003,-0.0861328125000003,-0.0861328125000003,-0.0861328124999998,0,0.434020549768482,0.109798261588335,2.4978515625,2.41171875,2.239453125,1.894921875,2.928515625,2.4978515625,2.41171875,2.0671875,2.41171875,2.3255859375,2.0671875,1.8087890625,0,0,0,0,-0.0861328125000003,0,-0.0861328125000003,-0.0861328125000003,0.422960346627422,0.266777739031604,2.41171875,2.3255859375,2.239453125,2.239453125,3.10078125,2.41171875,2.3255859375,2.3255859375,2.3255859375,2.239453125,2.1533203125,2.0671875,0,0,0,0.0861328125000003,-0.0861328125000003,0,0,-0.0861328125000003,0.351928933090383,0.280466116470999,2.4978515625,2.3255859375,2.6701171875,2.75625,3.10078125,2.4978515625,2.75625,3.3591796875,2.3255859375,2.239453125,2.41171875,2.583984375,0,0,0.0861328125000003,0.0861328125000003,-0.0861328125000003,-0.0861328125000003,0,0,0.416509039952912,0.182317537809808
"Chrysococcyx-cupreus-615909_1.14.wav",3.273046875,2.583984375,2.41171875,2.4978515625,3.7037109375,2.8423828125,2.583984375,3.0146484375,2.8423828125,2.41171875,2.3255859375,2.3255859375,0,0,0,0.0861328125000003,-0.0861328125000003,-0.0861328125000003,-0.0861328124999998,0,0.44829599112604,0.10248308870279,2.583984375,2.41171875,2.239453125,1.894921875,2.75625,2.583984375,2.3255859375,2.0671875,2.41171875,2.239453125,1.9810546875,1.8087890625,0,0,0,0,-0.0861328125000003,-0.0861328125000003,-0.0861328125000003,-0.0861328125000003,0.421093512198387,0.257081157172055,2.41171875,2.3255859375,2.239453125,2.239453125,3.0146484375,2.41171875,2.3255859375,2.3255859375,2.3255859375,2.239453125,2.1533203125,2.1533203125,0,0,0,0,-0.0861328125000003,-0.0861328125000003,0,-0.0861328125000003,0.334580636516543,0.269891543259903,2.4978515625,2.41171875,2.75625,2.75625,3.1869140625,2.4978515625,2.8423828125,3.273046875,2.3255859375,2.239453125,2.41171875,2.583984375,0,0.0861328125000003,0.0861328125000003,0.0861328125000003,-0.0861328125000003,-0.0861328125000003,0,0,0.419300238838742,0.179345405229882
"Chrysococcyx-cupreus-615909_1.23.wav",3.10078125,2.75625,2.4978515625,2.75625,3.617578125,2.928515625,2.583984375,3.3591796875,2.8423828125,2.583984375,2.41171875,2.41171875,0,0,0,0.0861328125000003,-0.0861328125000003,-0.0861328125000003,-0.0861328124999998,0,0.45558415907671,0.110365248501423,2.6701171875,2.4978515625,2.1533203125,1.894921875,2.75625,2.583984375,2.41171875,2.0671875,2.4978515625,2.3255859375,1.9810546875,1.8087890625,0,0,0,0,-0.0861328125000003,-0.0861328124999998,-0.0861328125000003,-0.0861328125000003,0.441603556182422,0.229175331320898,2.4978515625,2.3255859375,2.3255859375,2.239453125,3.10078125,2.4978515625,2.41171875,2.3255859375,2.3255859375,2.239453125,2.1533203125,2.1533203125,0,0,0,0,-0.0861328125000003,-0.0861328125000003,-0.0861328124999998,-0.0861328125000003,0.354808687707373,0.271108301727771,2.583984375,2.41171875,2.75625,2.75625,3.1869140625,2.4978515625,2.8423828125,3.273046875,2.41171875,2.3255859375,2.41171875,2.6701171875,0,0,0.0861328125000003,0.0861328125000003,-0.0861328125000003,0,0,0,0.417486969432387,0.175594313578782
"Chrysococcyx-cupreus-615909_1.26.wav",3.0146484375,2.583984375,2.41171875,2.583984375,3.617578125,2.75625,2.4978515625,3.10078125,2.75625,2.41171875,2.3255859375,2.3255859375,0,0,0,0.0861328125000003,-0.0861328125000003,-0.0861328125000003,0,0,0.441216215396169,0.110050763633195,2.4978515625,2.41171875,2.239453125,1.9810546875,2.8423828125,2.4978515625,2.41171875,2.0671875,2.41171875,2.239453125,2.0671875,1.8087890625,0,0,0,0,-0.0861328125000003,-0.0861328125000003,-0.0861328125000003,-0.0861328125000003,0.411633090888146,0.236696483687268,2.41171875,2.3255859375,2.239453125,2.239453125,2.928515625,2.41171875,2.3255859375,2.3255859375,2.3255859375,2.239453125,2.1533203125,2.1533203125,0,0,0,0,-0.0861328125000003,0,-0.0861328124999998,-0.0861328125000003,0.329186350163855,0.27600032784198,2.4978515625,2.3255859375,2.6701171875,2.6701171875,3.1869140625,2.4978515625,2.75625,3.1869140625,2.3255859375,2.239453125,2.41171875,2.583984375,0,0,0.0861328125000003,0.0861328125000003,-0.0861328125000003,-0.0861328125000003,0,0,0.414696497407498,0.179341985180021
"Chrysococcyx-cupreus-615909_1.29.wav",3.0146484375,2.583984375,2.41171875,2.4978515625,3.617578125,2.75625,2.4978515625,3.0146484375,2.8423828125,2.41171875,2.3255859375,2.3255859375,0,0,0,0.0861328125000003,-0.0861328125000003,-0.0861328125000003,0,0,0.440348740788763,0.103047144909813,2.4978515625,2.41171875,2.1533203125,1.894921875,2.75625,2.4978515625,2.3255859375,2.0671875,2.41171875,2.239453125,1.9810546875,1.8087890625,0,0,0,0,-0.0861328125000003,-0.0861328125000003,-0.0861328125000003,-0.0861328125000003,0.414817333067779,0.246847397976048,2.41171875,2.3255859375,2.239453125,2.239453125,2.928515625,2.41171875,2.3255859375,2.3255859375,2.3255859375,2.1533203125,2.1533203125,2.0671875,0,0,0,0,-0.0861328125000003,-0.0861328124999998,0,-0.0861328125000003,0.325183079506401,0.273628011907412,2.4978515625,2.3255859375,2.6701171875,2.6701171875,3.10078125,2.41171875,2.75625,3.3591796875,2.3255859375,2.239453125,2.41171875,2.583984375,0,0.0861328125000003,0.0861328125000003,0.0861328125000003,-0.0861328125000003,-0.0861328125000003,0,0,0.419977628171877,0.18193351855546
"Chrysococcyx-cupreus-615909_1.45.wav",3.0146484375,2.583984375,2.4978515625,2.583984375,3.7037109375,2.75625,2.583984375,3.273046875,2.8423828125,2.4978515625,2.3255859375,2.41171875,0,0,0,0.0861328125000003,-0.0861328125000003,-0.0861328125000003,0,0,0.445553136586811,0.110060154931406,2.4978515625,2.41171875,2.3255859375,2.0671875,3.1869140625,2.583984375,2.4978515625,2.239453125,2.41171875,2.3255859375,2.1533203125,1.894921875,0,0,0,0,-0.0861328125000003,-0.0861328124999998,-0.0861328125000003,-0.0861328125000003,0.412748096171045,0.236134353569763,2.41171875,2.3255859375,2.239453125,2.239453125,2.928515625,2.41171875,2.41171875,2.3255859375,2.3255859375,2.239453125,2.1533203125,2.1533203125,0,0,0,0,-0.0861328125000003,-0.0861328125000003,-0.0861328124999998,-0.0861328125000003,0.328836199723153,0.274568058466444,2.583984375,2.41171875,2.6701171875,2.75625,3.10078125,2.4978515625,2.8423828125,3.1869140625,2.41171875,2.239453125,2.41171875,2.583984375,0,0.0861328125000003,0.0861328125000003,0.0861328125000003,-0.0861328125000003,-0.0861328125000003,0,-0.0861328124999998,0.414115993893671,0.17207817874196
"Chrysococcyx-cupreus-615909_1.48.wav",3.4453125,2.583984375,2.41171875,2.8423828125,3.78984375,2.75625,2.583984375,3.1869140625,2.8423828125,2.41171875,2.3255859375,2.3255859375,0,0,0,0.0861328125000003,-0.0861328125000003,-0.0861328125000003,-0.0861328124999998,0,0.465612365036314,0.11123106412317,2.4978515625,2.41171875,2.239453125,1.9810546875,2.75625,2.4978515625,2.41171875,2.0671875,2.41171875,2.3255859375,2.0671875,1.8087890625,0,0,0,0,-0.0861328125000003,-0.0861328125000003,-0.0861328125000003,-0.0861328125000003,0.408843139399019,0.221588585857939,2.41171875,2.3255859375,2.239453125,2.239453125,3.0146484375,2.41171875,2.41171875,2.3255859375,2.3255859375,2.239453125,2.1533203125,2.1533203125,0,0,0,0,-0.0861328125000003,-0.0861328125000003,-0.0861328124999998,-0.0861328125000003,0.338609883880414,0.274292309958185,2.4978515625,2.41171875,2.6701171875,2.6701171875,3.10078125,2.4978515625,2.8423828125,3.1869140625,2.41171875,2.239453125,2.41171875,2.583984375,0,0.0861328125000003,0.0861328125000003,0.0861328125000003,-0.0861328125000003,-0.0861328125000003,0,0,0.409279695093776,0.175582020068774
"Chrysococcyx-cupreus-615909_1.52.wav",3.3591796875,2.6701171875,2.4978515625,2.75625,3.7037109375,2.8423828125,2.583984375,3.1869140625,2.928515625,2.4978515625,2.3255859375,2.41171875,0,0,0,0.0861328125000003,-0.0861328125000003,-0.0861328125000003,-0.0861328124999998,0,0.466187934466469,0.108596355628317,2.583984375,2.41171875,2.239453125,1.9810546875,2.75625,2.583984375,2.41171875,2.0671875,2.41171875,2.3255859375,2.0671875,1.8087890625,0,0,0,0,-0.0861328125000003,-0.0861328124999998,-0.0861328125000003,-0.0861328125000003,0.41787133672532,0.227091574772352,2.41171875,2.3255859375,2.239453125,2.239453125,2.8423828125,2.41171875,2.3255859375,2.3255859375,2.3255859375,2.239453125,2.1533203125,2.1533203125,0,0,0,0,-0.0861328125000003,-0.0861328124999998,0,-0.0861328125000003,0.340100027382097,0.250091875294167,2.4978515625,2.3255859375,2.6701171875,2.6701171875,3.10078125,2.4978515625,2.8423828125,3.273046875,2.3255859375,2.239453125,2.41171875,2.583984375,0,0.0861328125000003,0.0861328125000003,0.0861328125000003,-0.0861328125000003,-0.0861328125000003,0,0,0.411389110046597,0.177306114149183
"Chrysococcyx-cupreus-615909_1.58.wav",3.1869140625,2.583984375,2.4978515625,2.583984375,3.7037109375,2.75625,2.583984375,3.10078125,2.928515625,2.4978515625,2.3255859375,2.41171875,0,0,0,0.0861328125000003,-0.0861328125000003,-0.0861328125000003,-0.0861328124999998,0,0.446383881757329,0.103341642127011,2.583984375,2.41171875,2.1533203125,1.9810546875,2.75625,2.583984375,2.3255859375,2.0671875,2.41171875,2.3255859375,1.9810546875,1.8087890625,0,0,0,0,-0.0861328125000003,-0.0861328125000003,-0.0861328125000003,-0.0861328125000003,0.416961210196131,0.23986905102157,2.41171875,2.3255859375,2.239453125,2.239453125,2.928515625,2.41171875,2.3255859375,2.3255859375,2.3255859375,2.239453125,2.1533203125,2.0671875,0,0,0,0,-0.0861328125000003,0,0,-0.0861328125000003,0.349084016425663,0.26839716631297,2.583984375,2.41171875,2.6701171875,2.75625,3.10078125,2.4978515625,2.8423828125,3.273046875,2.41171875,2.239453125,2.41171875,2.583984375,0,0.0861328125000003,0.0861328125000003,0.0861328125000003,-0.0861328125000003,-0.0861328125000003,0,-0.0861328124999998,0.411147690014555,0.176117446441808
"Chrysococcyx-cupreus-615909_2.02.wav",3.10078125,2.583984375,2.41171875,2.4978515625,3.78984375,2.75625,2.4978515625,3.10078125,2.8423828125,2.41171875,2.3255859375,2.3255859375,0,0,0,0.0861328125000003,-0.0861328125000003,-0.0861328125000003,0,0,0.460762619859263,0.11066389620512,2.4978515625,2.41171875,2.239453125,2.0671875,2.75625,2.4978515625,2.41171875,2.1533203125,2.41171875,2.3255859375,2.1533203125,1.894921875,0,0,0,0,-0.0861328125000003,-0.0861328125000003,-0.0861328125000003,-0.0861328125,0.387215113228224,0.196865246933318,2.41171875,2.3255859375,2.239453125,2.239453125,2.8423828125,2.41171875,2.3255859375,2.3255859375,2.3255859375,2.1533203125,2.1533203125,2.0671875,0,0,0,0,-0.0861328125000003,-0.0861328124999998,0,-0.0861328125000003,0.347182181622826,0.27549485739485,2.4978515625,2.3255859375,2.6701171875,2.6701171875,3.1869140625,2.4978515625,2.75625,3.1869140625,2.3255859375,2.239453125,2.41171875,2.583984375,0,0.0861328125000003,0.0861328125000003,0.0861328125000003,-0.0861328125000003,-0.0861328125000003,0,0,0.41071918466029,0.181721766399986
"Chrysococcyx-cupreus-615909_2.05.wav",3.10078125,2.583984375,2.41171875,2.4978515625,3.7037109375,2.75625,2.4978515625,3.10078125,2.8423828125,2.41171875,2.3255859375,2.3255859375,0,0,0,0.0861328125000003,-0.0861328125000003,-0.0861328125000003,0,0,0.449836881002834,0.110365248501423,2.4978515625,2.41171875,2.239453125,1.9810546875,2.75625,2.4978515625,2.3255859375,2.0671875,2.41171875,2.239453125,2.0671875,1.8087890625,0,0,0,0,-0.0861328125000003,-0.0861328125000003,-0.0861328125000003,-0.0861328125000003,0.399984870517152,0.229466532504279,2.41171875,2.239453125,2.239453125,2.1533203125,2.8423828125,2.41171875,2.3255859375,2.3255859375,2.239453125,2.1533203125,2.1533203125,2.0671875,0,0,0,0,-0.0861328125000003,-0.0861328124999998,0,-0.0861328125000003,0.331881221870568,0.269069893444103,2.4978515625,2.3255859375,2.583984375,2.6701171875,3.1869140625,2.4978515625,2.75625,3.1869140625,2.3255859375,2.239453125,2.41171875,2.583984375,0,0,0.0861328125000003,0.0861328125000003,-0.0861328125000003,-0.0861328125000003,0,0,0.410750306599804,0.179671130146116
"Chrysococcyx-cupreus-615909_2.11.wav",3.273046875,2.6701171875,2.41171875,2.4978515625,3.78984375,2.8423828125,2.583984375,3.10078125,2.928515625,2.4978515625,2.3255859375,2.3255859375,0,0,0,0.0861328125000003,-0.0861328125000003,-0.0861328125000003,-0.0861328124999998,0,0.455559128845786,0.106587204127114,2.583984375,2.41171875,2.239453125,1.9810546875,2.75625,2.583984375,2.41171875,2.0671875,2.41171875,2.3255859375,2.0671875,1.8087890625,0,0,0,0,-0.0861328125000003,-0.0861328125000003,-0.0861328125000003,-0.0861328125000003,0.406271683551144,0.239675598351407,2.41171875,2.3255859375,2.239453125,2.239453125,2.8423828125,2.41171875,2.3255859375,2.3255859375,2.3255859375,2.239453125,2.1533203125,2.0671875,0,0,0,0,-0.0861328125000003,-0.0861328124999998,0,-0.0861328125000003,0.340773663485948,0.265011900971786,2.4978515625,2.3255859375,2.6701171875,2.6701171875,3.10078125,2.41171875,2.8423828125,3.1869140625,2.3255859375,2.239453125,2.41171875,2.583984375,0,0,0.0861328125000003,0.0861328125000003,-0.0861328125000003,-0.0861328125000003,0,0,0.4165408903815,0.181140002642254
"Chrysococcyx-cupreus-615909_2.16.wav",3.1869140625,2.583984375,2.41171875,2.583984375,3.78984375,2.75625,2.4978515625,3.1869140625,2.8423828125,2.41171875,2.3255859375,2.3255859375,0,0,0,0.0861328125000003,-0.0861328125000003,-0.0861328125000003,0,0,0.459460136181938,0.106878026071787,2.583984375,2.41171875,2.239453125,1.9810546875,2.75625,2.4978515625,2.3255859375,2.0671875,2.41171875,2.3255859375,1.9810546875,1.8087890625,0,0,0,0,-0.0861328125000003,-0.0861328125000003,-0.0861328125000003,-0.0861328125000003,0.417760350252647,0.239092259958956,2.41171875,2.3255859375,2.239453125,2.239453125,2.8423828125,2.41171875,2.3255859375,2.3255859375,2.3255859375,2.239453125,2.1533203125,2.0671875,0,0,0,0,-0.0861328125000003,-0.0861328124999998,0,-0.0861328125000003,0.343082780992955,0.268796779466646,2.4978515625,2.3255859375,2.6701171875,2.6701171875,3.10078125,2.4978515625,2.8423828125,3.1869140625,2.3255859375,2.239453125,2.41171875,2.583984375,0,0.0861328125000003,0.0861328125000003,0.0861328125000003,-0.0861328125000003,-0.0861328125000003,0,0,0.408709408419065,0.182012987179473
"Chrysococcyx-cupreus-615909_2.20.wav",3.10078125,2.4978515625,2.41171875,2.4978515625,3.7037109375,2.75625,2.4978515625,3.1869140625,2.8423828125,2.41171875,2.3255859375,2.3255859375,0,0,0,0.0861328125000003,-0.0861328125000003,-0.0861328125000003,0,0,0.454079970579194,0.11211245560171,2.4978515625,2.41171875,2.239453125,2.0671875,2.75625,2.4978515625,2.41171875,2.1533203125,2.41171875,2.3255859375,2.1533203125,1.894921875,0,0,0,0,-0.0861328125000003,0,-0.0861328125000003,-0.0861328125,0.388324272762385,0.206170437833793,2.41171875,2.3255859375,2.239453125,2.239453125,2.8423828125,2.41171875,2.3255859375,2.3255859375,2.3255859375,2.1533203125,2.1533203125,2.0671875,0,0,0,0,-0.0861328125000003,-0.0861328124999998,0,-0.0861328125000003,0.348075890631154,0.273146710011438,2.4978515625,2.3255859375,2.6701171875,2.6701171875,3.1869140625,2.41171875,2.75625,3.1869140625,2.3255859375,2.239453125,2.41171875,2.583984375,0,0,0.0861328125000003,0.0861328125000003,-0.0861328125000003,-0.0861328125000003,0,0,0.408568722045789,0.182291940796546
